x,y,cond
60.0,1.0,23.53
60.0,3.0,27.92
60.0,5.0,27.37
60.0,7.0,29.99
60.0,9.0,30.96
60.0,11.0,30.36
60.0,13.0,31.0
60.0,15.0,32.29
60.0,17.0,32.42
60.0,19.0,30.94
60.0,21.0,30.81
60.0,23.0,32.71
60.0,25.0,29.77
60.0,27.0,25.93
60.0,29.0,25.01
60.0,31.0,25.5
60.0,33.0,20.04
60.0,35.0,23.13
60.0,37.0,20.74
60.0,39.0,20.19
60.0,41.0,21.0
60.0,43.0,22.99
60.0,45.0,28.74
60.0,47.0,28.29
60.0,51.0,25.89
60.0,53.0,30.32
60.0,55.0,36.93
60.0,57.0,34.04
60.0,59.0,40.7
60.0,61.0,39.59
60.0,63.0,37.77
60.0,65.0,36.68
60.0,67.0,37.35
60.0,69.0,35.48
60.0,71.0,29.77
60.0,73.0,24.36
60.0,75.0,20.78
60.0,77.0,23.03
60.0,79.0,23.96
60.0,81.0,24.91
60.0,83.0,26.31
60.0,85.0,26.79
60.0,87.0,27.58
60.0,89.0,27.62
60.0,91.0,26.7
60.0,93.0,27.37
60.0,95.0,27.27
60.0,97.0,30.08
64.0,7.0,30.05
64.0,9.0,33.61
64.0,11.0,34.23
64.0,13.0,35.61
64.0,15.0,35.56
64.0,17.0,34.96
64.0,19.0,33.66
64.0,21.0,33.34
64.0,23.0,31.4
64.0,25.0,31.04
64.0,27.0,31.06
64.0,29.0,30.36
64.0,31.0,29.34
64.0,33.0,28.19
64.0,35.0,29.25
64.0,37.0,27.47
64.0,39.0,23.05
64.0,41.0,21.77
64.0,43.0,21.47
64.0,45.0,21.95
64.0,47.0,21.2
64.0,49.0,22.86
64.0,51.0,25.22
64.0,53.0,31.02
64.0,55.0,32.56
64.0,57.0,32.39
64.0,59.0,32.54
64.0,61.0,37.25
64.0,63.0,39.51
64.0,65.0,37.63
64.0,67.0,36.72
64.0,69.0,36.45
64.0,71.0,28.58
64.0,73.0,24.66
64.0,75.0,22.79
64.0,77.0,24.18
64.0,79.0,24.09
64.0,81.0,25.35
64.0,83.0,26.0
64.0,85.0,26.84
64.0,87.0,26.85
64.0,89.0,28.1
64.0,91.0,26.49
64.0,93.0,29.32
64.0,95.0,28.89
64.0,97.0,29.59
64.0,99.0,25.26
64.0,101.0,26.69
68.0,7.0,30.08
68.0,9.0,34.59
68.0,11.0,36.76
68.0,13.0,37.44
68.0,15.0,38.17
68.0,17.0,37.66
68.0,19.0,35.11
68.0,21.0,35.02
68.0,23.0,35.19
68.0,25.0,34.74
68.0,27.0,31.09
68.0,29.0,31.61
68.0,31.0,29.87
68.0,33.0,30.49
68.0,35.0,30.29
68.0,37.0,30.01
68.0,39.0,29.16
68.0,41.0,27.81
68.0,43.0,27.48
68.0,45.0,25.19
68.0,47.0,24.4
68.0,49.0,26.17
68.0,51.0,28.99
68.0,53.0,27.29
68.0,55.0,28.83
68.0,57.0,29.75
68.0,59.0,31.89
68.0,61.0,34.95
68.0,63.0,34.76
68.0,65.0,35.37
68.0,67.0,36.06
68.0,69.0,33.27
68.0,71.0,31.14
68.0,73.0,25.87
68.0,75.0,25.08
68.0,77.0,25.54
68.0,79.0,25.18
68.0,81.0,26.21
68.0,83.0,27.29
68.0,85.0,27.73
68.0,87.0,26.76
68.0,89.0,27.64
68.0,91.0,26.94
68.0,93.0,28.5
68.0,95.0,28.97
68.0,97.0,31.04
68.0,99.0,34.49
68.0,101.0,35.1
68.0,101.0,33.92
72.0,7.0,30.77
72.0,9.0,36.03
72.0,11.0,37.43
72.0,13.0,39.41
72.0,15.0,38.74
72.0,17.0,38.01
72.0,19.0,36.86
72.0,21.0,36.47
72.0,23.0,37.7
72.0,25.0,36.58
72.0,27.0,33.48
72.0,29.0,30.03
72.0,31.0,29.29
72.0,33.0,28.97
72.0,35.0,28.91
72.0,37.0,29.07
72.0,39.0,27.83
72.0,41.0,27.28
72.0,43.0,26.56
72.0,45.0,27.04
72.0,47.0,27.19
72.0,49.0,28.72
72.0,51.0,29.58
72.0,53.0,28.57
72.0,55.0,26.61
72.0,57.0,27.86
72.0,59.0,29.67
72.0,61.0,30.39
72.0,63.0,32.19
72.0,65.0,33.07
72.0,67.0,33.53
72.0,69.0,30.43
72.0,71.0,28.58
72.0,73.0,25.92
72.0,75.0,25.03
72.0,77.0,24.74
72.0,79.0,26.47
72.0,81.0,25.3
72.0,83.0,25.37
72.0,85.0,25.37
72.0,87.0,24.14
72.0,89.0,24.92
72.0,91.0,25.91
72.0,93.0,28.66
72.0,95.0,29.36
72.0,97.0,29.04
72.0,99.0,30.42
72.0,101.0,34.9
72.0,103.0,35.75
73.0,9.0,36.03
73.0,11.0,36.16
73.0,13.0,36.41
73.0,15.0,37.14
73.0,17.0,38.56
73.0,19.0,37.56
73.0,21.0,36.44
73.0,23.0,36.25
73.0,25.0,36.03
73.0,27.0,33.14
73.0,29.0,30.53
73.0,31.0,28.95
73.0,33.0,29.15
73.0,35.0,27.15
73.0,37.0,28.23
73.0,39.0,26.93
73.0,41.0,25.26
73.0,43.0,25.15
73.0,45.0,25.94
73.0,47.0,26.07
73.0,49.0,28.16
73.0,51.0,28.99
73.0,53.0,30.01
73.0,55.0,28.68
73.0,57.0,28.54
73.0,59.0,24.08
73.0,61.0,32.41
73.0,63.0,31.85
73.0,65.0,30.61
73.0,67.0,28.89
73.0,69.0,27.46
73.0,71.0,26.05
73.0,73.0,25.51
73.0,75.0,25.03
73.0,77.0,24.55
73.0,79.0,24.87
73.0,81.0,25.05
73.0,83.0,25.09
73.0,85.0,26.47
73.0,87.0,24.97
73.0,89.0,24.44
73.0,91.0,25.49
73.0,93.0,28.83
73.0,95.0,29.15
73.0,97.0,30.33
73.0,99.0,30.81
73.0,101.0,31.04
73.0,103.0,33.4
73.0,105.0,31.42
77.0,9.0,34.24
77.0,11.0,36.98
77.0,13.0,39.47
77.0,15.0,38.01
77.0,17.0,36.19
77.0,19.0,36.52
77.0,21.0,35.47
77.0,23.0,35.07
77.0,25.0,36.27
77.0,27.0,33.53
77.0,29.0,32.4
77.0,31.0,28.9
77.0,33.0,28.43
77.0,35.0,28.72
77.0,37.0,27.02
77.0,39.0,25.12
77.0,41.0,26.35
77.0,43.0,25.89
77.0,45.0,27.65
77.0,47.0,27.69
77.0,49.0,28.81
77.0,51.0,27.02
77.0,53.0,25.85
77.0,55.0,26.41
77.0,57.0,26.73
77.0,59.0,27.22
77.0,61.0,29.0
77.0,63.0,28.98
77.0,65.0,27.73
77.0,67.0,26.96
77.0,69.0,26.82
77.0,71.0,26.76
77.0,73.0,26.45
77.0,75.0,26.69
77.0,77.0,27.14
77.0,79.0,26.79
77.0,81.0,24.74
77.0,83.0,23.23
77.0,85.0,23.46
77.0,87.0,24.24
77.0,89.0,26.71
77.0,91.0,25.24
77.0,93.0,26.62
77.0,95.0,30.63
77.0,97.0,30.54
77.0,99.0,30.2
77.0,101.0,29.58
77.0,103.0,27.43
77.0,105.0,29.6
81.0,9.0,31.27
81.0,11.0,32.55
81.0,13.0,34.25
81.0,15.0,35.64
81.0,17.0,37.01
81.0,19.0,37.49
81.0,21.0,35.83
81.0,23.0,34.81
81.0,25.0,31.1
81.0,27.0,32.39
81.0,29.0,30.94
81.0,31.0,31.52
81.0,33.0,31.32
81.0,35.0,26.99
81.0,37.0,26.81
81.0,39.0,25.84
81.0,41.0,24.77
81.0,43.0,23.81
81.0,45.0,23.34
81.0,47.0,23.48
81.0,49.0,22.94
81.0,51.0,22.65
81.0,53.0,24.92
81.0,55.0,25.36
81.0,57.0,25.95
81.0,59.0,24.85
81.0,61.0,25.71
81.0,63.0,25.88
81.0,65.0,25.24
81.0,67.0,25.6
81.0,69.0,26.33
81.0,71.0,28.06
81.0,73.0,26.59
81.0,75.0,26.91
81.0,77.0,27.54
81.0,79.0,25.77
81.0,81.0,23.41
81.0,83.0,21.39
81.0,85.0,21.7
81.0,87.0,21.73
81.0,89.0,22.8
81.0,91.0,23.97
81.0,93.0,25.77
81.0,95.0,29.86
81.0,97.0,33.14
81.0,99.0,30.13
81.0,101.0,30.23
81.0,103.0,27.03
81.0,105.0,25.43
85.0,9.0,30.42
85.0,11.0,32.38
85.0,13.0,33.55
85.0,15.0,33.56
85.0,17.0,33.12
85.0,19.0,36.1
85.0,21.0,35.22
85.0,23.0,30.98
85.0,25.0,29.24
85.0,27.0,30.22
85.0,29.0,28.41
85.0,31.0,29.73
85.0,33.0,28.01
85.0,35.0,25.83
85.0,37.0,25.32
85.0,39.0,23.18
85.0,41.0,23.21
85.0,43.0,21.82
85.0,45.0,21.63
85.0,47.0,21.66
85.0,49.0,21.46
85.0,51.0,23.05
85.0,53.0,22.26
85.0,55.0,22.69
85.0,57.0,23.12
85.0,59.0,22.42
85.0,61.0,23.37
85.0,63.0,24.52
85.0,65.0,25.14
85.0,67.0,25.17
85.0,69.0,25.45
85.0,71.0,25.71
85.0,73.0,25.51
85.0,75.0,25.33
85.0,77.0,25.08
85.0,79.0,23.38
85.0,81.0,21.37
85.0,83.0,21.4
85.0,85.0,21.55
85.0,87.0,21.79
85.0,89.0,23.2
85.0,91.0,28.89
85.0,93.0,30.92
85.0,95.0,32.56
85.0,97.0,33.48
85.0,99.0,30.73
85.0,101.0,29.44
85.0,103.0,26.83
85.0,105.0,26.43
89.0,9.0,27.86
89.0,11.0,30.71
89.0,13.0,32.67
89.0,15.0,32.63
89.0,17.0,33.11
89.0,19.0,33.41
89.0,21.0,33.62
89.0,23.0,33.23
89.0,25.0,29.69
89.0,27.0,27.35
89.0,29.0,24.83
89.0,31.0,25.89
89.0,33.0,27.23
89.0,35.0,25.8
89.0,37.0,25.86
89.0,39.0,25.16
89.0,41.0,25.52
89.0,43.0,26.69
89.0,45.0,28.66
89.0,47.0,27.45
89.0,49.0,24.36
89.0,51.0,23.1
89.0,53.0,25.08
89.0,55.0,24.58
89.0,57.0,26.92
89.0,59.0,24.89
89.0,61.0,24.7
89.0,63.0,28.13
89.0,65.0,26.92
89.0,67.0,28.13
89.0,69.0,29.41
89.0,71.0,28.22
89.0,73.0,26.59
89.0,75.0,25.68
89.0,77.0,24.86
89.0,79.0,24.88
89.0,81.0,24.44
89.0,83.0,25.06
89.0,85.0,26.07
89.0,87.0,27.48
89.0,89.0,29.46
89.0,91.0,30.98
89.0,93.0,32.64
89.0,95.0,31.05
89.0,97.0,28.88
89.0,99.0,29.08
89.0,101.0,28.11
89.0,103.0,26.2
89.0,105.0,25.11
93.0,9.0,31.37
93.0,11.0,33.78
93.0,13.0,31.39
93.0,15.0,31.92
93.0,17.0,32.12
93.0,19.0,31.73
93.0,21.0,33.44
93.0,23.0,32.82
93.0,25.0,32.46
93.0,27.0,30.12
93.0,29.0,27.01
93.0,31.0,27.91
93.0,33.0,29.19
93.0,35.0,27.81
93.0,37.0,26.13
93.0,39.0,26.12
93.0,41.0,23.91
93.0,43.0,25.57
93.0,45.0,25.26
93.0,47.0,26.91
93.0,49.0,26.17
93.0,51.0,24.31
93.0,53.0,27.85
93.0,55.0,27.43
93.0,57.0,26.09
93.0,59.0,24.44
93.0,61.0,24.27
93.0,63.0,25.6
93.0,65.0,25.86
93.0,67.0,26.8
93.0,69.0,25.3
93.0,71.0,25.03
93.0,73.0,25.87
93.0,75.0,22.11
93.0,77.0,23.56
93.0,79.0,25.96
93.0,81.0,23.58
93.0,83.0,23.62
93.0,85.0,24.27
93.0,87.0,27.32
93.0,89.0,28.02
93.0,91.0,30.26
93.0,93.0,27.75
93.0,95.0,26.05
93.0,97.0,23.91
93.0,99.0,22.33
93.0,101.0,23.59
93.0,103.0,21.63
93.0,105.0,21.97
